Name,Longitude location of institution,Latitude location of institution,SAT Critical Reading 75th percentile score,SAT Math 75th percentile score,SAT Writing 75th percentile score,ACT Composite 75th percentile score,Percent admitted - total,"Tuition and fees, 2013-14",Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,Control of institution,Undergraduate enrollment,"Graduation rate - Bachelor degree within 4 years, total",Enrolled total,Applicants total
Spalding University,-85.75905,38.241815,520,525,,22,81,22425,37439,37439,Private not-for-profit,1371,18,402,1094
Thomas More College,-84.568923,39.022963,520,560,,25,88,27345,38621,38621,Private not-for-profit,1502,42,264,1053
Transylvania University,-84.493883,38.053236,660,630,,30,96,31560,43640,43640,Private not-for-profit,1082,67,294,1326
Union College,-83.887982,36.869066,563,513,,24,74,22000,33740,33740,Private not-for-profit,818,16,242,1424
Western Kentucky University,-86.455898,36.985718,580,570,,25,92,8722,18822,32348,Public,17509,25,3375,8526
Centenary College of Louisiana,-93.731518,32.483004,585,600,,28,66,30740,44600,44600,Private not-for-profit,586,49,128,670
Dillard University,-90.065348,29.996468,470,480,,20,35,16094,30358,30358,Private not-for-profit,1183,5,229,4726
Grambling State University,-92.717367,32.522702,480,440,,20,44,5950,22720,31888,Public,4155,7,714,4545
Louisiana State University-Alexandria,-92.414409,31.178616,,,,22,61,5337,17013,21658,Public,2211,7,391,1080
Louisiana State University and Agricultural & Mechanical College,-91.196656,30.552111,620,630,,28,76,7873,23227,41144,Public,24923,38,5725,16169
Louisiana State University-Shreveport,-93.703762,32.428768,510,540,,24,83,5606,,,Public,3674,15,345,539
Louisiana College,-92.425567,31.322286,460,500,480,23,74,14120,23390,23390,Private not-for-profit,1116,29,266,904
Louisiana Tech University,-92.64964,32.525518,590,600,,26,67,7302,18927,30066,Public,9245,29,1552,5077
Loyola University New Orleans,-90.120417,29.936141,640,610,,28,87,36860,51760,51760,Private not-for-profit,2946,44,624,4827
McNeese State University,-93.215648,30.180762,550,560,,24,62,5701,17759,28661,Public,7575,13,1313,3624
University of New Orleans,-90.068506,30.028539,590,620,,25,50,6578,19825,32315,Public,7144,13,860,3197
Nicholls State University,-90.802906,29.792689,537,607,520,24,87,6468,19180,28671,Public,5888,19,1243,2404
University of Louisiana at Monroe,-92.073855,32.527957,,640,580,25,77,6318,17250,27822,Public,7276,19,1325,3454
Northwestern State University of Louisiana,-93.097715,31.750675,518,550,,24,84,6207,18436,28556,Public,7836,19,1231,2812
Our Lady of Holy Cross College,-89.997055,29.912539,,,,,48,9950,,,Private not-for-profit,878,5,59,163
Southeastern Louisiana University,-90.468558,30.51358,,,,24,45,5715,17149,29168,Public,13730,13,2565,7657
Southern University and A & M College,-91.190105,30.524558,,520,,20,36,6630,18882,20526,Public,5746,8,781,3721
Southern University at New Orleans,-90.044379,30.02669,650,640,610,18,49,4911,16191,16191,Public,1809,4,684,1563
University of Louisiana at Lafayette,-92.01941,30.215283,,600,590,25,59,6192,19035,28585,Public,15053,13,2693,8506
Tulane University of Louisiana,-90.120409,29.939696,700,700,720,32,26,46930,61178,61178,Private not-for-profit,8290,62,1609,30122
Xavier University of Louisiana,-90.107307,29.964162,560,550,530,26,54,20560,31501,31501,Private not-for-profit,2504,27,675,4703
College of the Atlantic,-68.228849,44.399584,,,,,74,38952,49890,49890,Private not-for-profit,362,56,104,452
Bates College,-70.203333,44.105299,,,,,24,45650,61000,61000,Private not-for-profit,1791,88,500,5243
Bowdoin College,-69.965165,43.906969,760,750,770,33,15,45446,59900,59900,Private not-for-profit,1795,88,497,7052
Colby College,-69.66337,44.564211,710,720,720,32,26,45760,59110,59110,Private not-for-profit,1820,89,483,5407
Husson University,-68.791323,44.828888,530,550,530,21,80,15130,26286,26286,Private not-for-profit,2350,25,444,1581
University of Maine at Augusta,-69.796396,44.337746,,,,,,7500,,,Public,4770,3,,
University of Maine at Farmington,-70.147469,44.668,,,,,84,9167,21425,30513,Public,1901,38,439,1638
University of Maine at Fort Kent,-68.588364,47.250306,500,500,500,27,63,7575,18795,28755,Public,1209,36,162,464
University of Maine at Machias,-67.456534,44.709895,530,520,510,25,85,7490,18968,30848,Public,892,14,104,452
University of Maine,-68.673839,44.895966,590,610,580,26,81,10600,23712,41082,Public,9182,36,1997,8306
Maine Maritime Academy,-68.803214,44.3873,550,580,530,24,65,11950,24098,34918,Public,994,53,225,791
University of Maine at Presque Isle,-68.016516,46.672377,,,,,,7300,18276,28236,Public,1263,15,,
University of New England,-70.385882,43.458172,570,580,,26,86,33145,50295,50295,Private not-for-profit,2653,49,633,4231
Saint Joseph's College of Maine,-70.483486,43.82651,520,530,530,,78,30990,45790,45790,Private not-for-profit,1276,49,290,1580
University of Southern Maine,-70.276002,43.662637,550,560,540,25,83,8920,24062,36422,Public,7098,10,868,3902
Thomas College,-69.662923,44.524046,490,510,480,21,72,22770,35494,35494,Private not-for-profit,1339,35,269,1074
Unity College,-69.332276,44.603165,,,,,89,25000,35864,35864,Private not-for-profit,553,45,146,519
University of Baltimore,-76.616591,39.305834,530,510,510,,73,7838,,,Public,3526,23,251,695
Bowie State University,-76.759721,39.018185,490,470,470,20,52,6971,20107,30674,Public,4358,13,627,3986
Washington Adventist University,-77.00131,38.987206,,,,,33,21020,31220,31220,Private not-for-profit,1011,17,134,1455
Coppin State University,-76.658547,39.310786,480,470,,,36,6252,19091,24025,Public,2920,4,446,5980
Frostburg State University,-78.933871,39.651509,530,540,510,22,59,7728,20046,30694,Public,4703,22,895,3872
Goucher College,-76.594843,39.410175,,,,,72,39084,52908,52908,Private not-for-profit,1449,59,410,3615
Hood College,-77.419282,39.421908,580,580,550,25,81,33280,48830,48830,Private not-for-profit,1388,55,281,1686
Johns Hopkins University,-76.620799,39.32838,740,770,750,34,18,45470,61502,61502,Private not-for-profit,6117,87,1390,21336
Loyola University Maryland,-76.623417,39.346044,627,640,,29,58,43250,58578,58578,Private not-for-profit,4004,79,1096,13604
University of Maryland-University College,-76.954104,38.986299,,,,,,6552,,,Public,26740,1,,
University of Maryland-Baltimore County,-76.711607,39.256686,640,670,640,29,63,10068,24762,36336,Public,11136,37,1657,9755
University of Maryland-College Park,-76.939704,38.988607,690,730,,,47,9162,23734,42920,Public,26658,66,4020,26247
University of Maryland Eastern Shore,-75.687227,38.211188,480,480,460,19,55,6998,21454,29960,Public,3530,13,610,4073
Morgan State University,-76.584238,39.344235,490,490,480,19,58,7218,22269,31683,Public,6252,11,899,4801
Mount St Mary's University,-77.35222,39.680632,600,580,590,23,67,34644,48858,48858,Private not-for-profit,1741,61,429,4943
Notre Dame of Maryland University,-76.619701,39.351307,590,560,,23,50,32050,45650,45650,Private not-for-profit,1234,45,104,838
Salisbury University,-75.605705,38.345447,610,620,610,26,55,8128,22368,30714,Public,8004,47,1246,8912
St Mary's College of Maryland,-76.425706,38.188615,670,650,650,30,72,14864,29599,43399,Public,1819,71,419,1985
Sojourner-Douglass College,-76.598191,39.296333,,,,,,9830,,,Private not-for-profit,1037,10,,
St John's College,-76.491397,38.981513,,,,,81,46296,58630,58630,Private not-for-profit,443,56,126,342
Towson University,-76.612268,39.393008,580,590,580,25,60,8342,23166,34844,Public,18779,40,2748,17750
Maryland University of Integrative Health,-76.888025,39.165872,,,,,,,,,Private not-for-profit,0,,,
Stevenson University,-76.701247,39.421264,540,560,540,23,60,27082,43556,43556,Private not-for-profit,3965,42,752,5318
Washington College,-76.06878,39.217329,640,640,610,29,67,41120,54312,54312,Private not-for-profit,1483,65,350,4786
McDaniel College,-77.001662,39.584879,600,610,,27,76,36960,48300,48300,Private not-for-profit,1692,64,453,2942
American International College,-72.558507,42.112708,490,500,490,21,68,30040,44900,44900,Private not-for-profit,1513,28,346,1928
Amherst College,-72.518493,42.372459,760,770,760,34,14,46574,61544,61544,Private not-for-profit,1785,89,466,7927
Anna Maria College,-71.918961,42.33055,,,,,78,32134,48146,48146,Private not-for-profit,1143,43,243,2081
Assumption College,-71.828387,42.295435,,,,,74,34975,48521,48521,Private not-for-profit,2240,70,502,4659
Bay Path College,-72.583974,42.055364,550,540,530,22,58,29959,44559,44559,Private not-for-profit,1458,46,135,908
Becker College,-71.811895,42.26918,550,570,530,24,63,31500,47160,47160,Private not-for-profit,1902,16,361,3936
Bentley University,-71.220148,42.388798,630,680,650,30,44,41110,56930,56930,Private not-for-profit,4247,81,974,7493
Boston College,-71.171488,42.337688,710,740,730,33,32,45622,60706,60706,Private not-for-profit,9698,89,2215,24538
Boston University,-71.09984,42.349581,670,720,690,30,46,44880,61446,61446,Private not-for-profit,18165,80,3877,44006
Brandeis University,-71.254716,42.364947,710,760,720,32,37,45856,61070,61070,Private not-for-profit,3614,86,833,9496
Bridgewater State University,-70.966058,41.987785,540,550,,24,79,8053,22753,28893,Public,9615,29,1476,5920
Cambridge College,-71.11084,42.369193,,,,,,13392,,,Private not-for-profit,1050,2,,
Clark University,-71.823537,42.251064,,,,,62,39550,48770,48770,Private not-for-profit,2380,76,621,5551
Curry College,-71.114007,42.240616,515,520,,20,67,34715,50845,50845,Private not-for-profit,2849,35,643,6780
Eastern Nazarene College,-71.011238,42.271214,550,530,540,24,56,27922,38522,38522,Private not-for-profit,1321,41,165,941
Emerson College,-71.074037,42.35532,670,650,670,30,48,35730,53554,53554,Private not-for-profit,3758,80,863,8198
Emmanuel College,-71.103038,42.341191,590,590,600,26,60,34670,51363,51363,Private not-for-profit,2176,51,515,6623
Endicott College,-70.840729,42.554177,570,590,570,25,72,28926,45536,45536,Private not-for-profit,2724,65,629,3675
Fisher College,-71.074125,42.355253,460,460,,,63,27575,46840,46840,Private not-for-profit,1930,4,239,2412
Fitchburg State University,-71.789354,42.589345,540,550,530,22,72,8985,20690,26770,Public,4245,20,759,3528
Framingham State University,-71.437175,42.297289,560,570,560,25,52,8080,22804,28884,Public,4584,33,826,5433
Gordon College,-70.819133,42.588173,653,639,648,29,41,33230,44860,44860,Private not-for-profit,1710,58,481,4009
Hampshire College,-72.532401,42.324772,,,,,64,46625,60155,60155,Private not-for-profit,1492,56,361,2856
Harvard University,-71.118177,42.374429,800,800,800,35,6,42292,59950,59950,Private not-for-profit,10534,87,1659,35023
College of the Holy Cross,-71.808627,42.238942,,,,,33,44272,57832,57832,Private not-for-profit,2912,89,722,7115
Lasell College,-71.243738,42.342712,540,530,,23,76,30000,46000,46000,Private not-for-profit,1687,47,485,3584
Lesley University,-71.115601,42.378429,600,570,590,26,67,32375,49765,49765,Private not-for-profit,1948,35,316,2605
University of Massachusetts-Lowell,-71.325081,42.65372,600,630,,28,64,12097,24961,39010,Public,12734,28,1648,9126
University of Massachusetts-Amherst,-72.52613,42.386105,640,670,,29,63,13443,26282,40998,Public,22134,59,4672,36012
University of Massachusetts-Boston,-71.038653,42.314541,550,580,,,71,11966,,,Public,12366,15,1413,8170
Massachusetts Institute of Technology,-71.092115,42.360095,770,800,780,35,8,43498,59020,59020,Private not-for-profit,4528,84,1115,18989
Massachusetts Maritime Academy,-70.623953,41.740538,550,600,530,24,77,7127,22073,36979,Public,1376,49,300,787
Merrimack College,-71.124216,42.668352,,,,,79,35085,49685,49685,Private not-for-profit,2758,54,794,6314
Mount Holyoke College,-72.573625,42.257588,,,,,47,41456,55496,55496,Private not-for-profit,2183,76,527,3732
Mount Ida College,-71.194658,42.293205,490,490,490,20,61,29377,44945,44945,Private not-for-profit,1268,29,307,2371
Newbury College,-71.142082,42.331032,480,460,460,,60,28950,44550,44550,Private not-for-profit,962,24,270,4915
Nichols College,-71.929644,42.042462,500,530,492,23,80,32370,46690,46690,Private not-for-profit,1281,42,414,2499
Massachusetts College of Liberal Arts,-73.1035,42.692427,580,550,,25,67,8525,21363,30308,Public,1538,38,313,1689
Northeastern University,-71.088782,42.339992,730,750,720,33,32,41686,58096,58096,Private not-for-profit,13223,0,2891,47364
College of Our Lady of the Elms,-72.601541,42.14179,520,520,530,22,75,30132,44612,44612,Private not-for-profit,1347,57,198,993
Pine Manor College,-71.156973,42.319568,440,420,440,,64,24930,40870,40870,Private not-for-profit,313,28,119,535
