Name,Longitude location of institution,Latitude location of institution,SAT Critical Reading 75th percentile score,SAT Math 75th percentile score,SAT Writing 75th percentile score,ACT Composite 75th percentile score,Percent admitted - total,"Tuition and fees, 2013-14",Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,Control of institution,Undergraduate enrollment,"Graduation rate - Bachelor degree within 4 years, total",Enrolled total,Applicants total
Minnesota State University-Moorhead,-96.763376,46.866482,560,590,,25,89,7816,19000,25898,Public,6163,22,989,3562
North Central University,-93.261429,44.969389,550,560,,26,95,19996,30248,30248,Private not-for-profit,1301,17,246,501
University of Northwestern-St Paul,-93.171579,45.032969,640,673,,27,69,28020,40120,40120,Private not-for-profit,3149,51,466,1945
College of Saint Benedict,-94.31902,45.558609,570,608,595,28,76,37926,49970,49970,Private not-for-profit,2051,75,538,2077
Saint Cloud State University,-94.153,45.552418,548,590,,24,87,7514,19002,26644,Public,15134,19,1703,5638
Saint Johns University,-94.39268,45.580538,610,625,575,28,75,37162,48546,48546,Private not-for-profit,1871,71,497,1747
Saint Mary's University of Minnesota,-91.696652,44.045322,550,590,,26,75,29315,39750,39750,Private not-for-profit,1932,43,318,1551
St Olaf College,-93.183633,44.462884,710,710,690,31,59,40700,51860,51860,Private not-for-profit,3125,83,752,4011
Crown College,-93.743015,44.885372,435,455,,24,55,22430,35080,35080,Private not-for-profit,1139,36,210,1049
The College of Saint Scholastica,-92.105738,46.81544,530,500,510,26,73,31612,43008,43008,Private not-for-profit,2917,59,432,1810
University of St Thomas,-93.189422,44.941662,640,640,,28,86,35308,48400,48400,Private not-for-profit,6321,63,1368,5540
St Catherine University,-93.181925,44.924542,620,550,,25,61,34744,47012,47012,Private not-for-profit,3559,38,443,3071
Southwest Minnesota State University,-95.75983,44.455023,,,,24,65,8074,19576,19576,Public,6467,22,453,2076
Winona State University,-91.64447,44.046572,,,,25,61,8730,20790,26290,Public,8253,30,1650,7212
Alcorn State University,-91.142854,31.877216,460,480,,19,83,6108,20984,20984,Public,3157,18,575,2265
Belhaven University,-90.169228,32.318415,620,560,,25,48,19970,34472,34472,Private not-for-profit,2749,25,281,2280
Blue Mountain College,-89.02924,34.67209,540,470,590,25,56,9470,17550,17550,Private not-for-profit,520,37,83,585
Delta State University,-90.734378,33.743896,475,570,,22,89,6562,18887,18887,Public,2638,16,343,472
Jackson State University,-90.20663,32.296781,,,,21,65,6348,20640,29844,Public,6903,17,1103,5325
Millsaps College,-90.178084,32.3231,630,620,,28,47,32520,46680,46680,Private not-for-profit,744,59,171,1901
University of Mississippi,-89.539377,34.362144,590,600,,27,59,6760,22444,33412,Public,16677,36,3582,14258
Mississippi University for Women,-88.418601,33.493305,480,640,,24,43,5640,16823,26543,Public,2429,22,184,1274
Mississippi Valley State University,-90.341274,33.514142,,,,19,23,5916,18552,18552,Public,1926,11,493,6229
Mississippi College,-90.330452,32.334565,593,583,,27,67,14868,27611,27611,Private not-for-profit,2905,35,598,1936
Mississippi State University,-88.78834,33.455241,620,630,,28,65,6772,21670,31858,Public,16399,31,3156,11191
Rust College,-89.446999,34.776862,360,440,360,14,14,8900,15400,15400,Private not-for-profit,922,12,287,3152
University of Southern Mississippi,-89.33791,31.327499,550,560,,27,66,6744,19894,28174,Public,12475,21,1746,6120
Tougaloo College,-90.159405,32.402719,537,447,,21,36,10227,20757,20757,Private not-for-profit,878,27,153,2661
William Carey University,-89.291815,31.305264,,,,28,49,10800,25500,25500,Private not-for-profit,2257,46,182,771
Avila University,-94.591387,38.912159,580,560,,24,61,24950,36414,36414,Private not-for-profit,1401,26,182,1629
Central Methodist University-College of Liberal Arts and Sciences,-92.685276,39.150534,480,540,470,24,65,21320,32970,32970,Private not-for-profit,1107,26,291,1285
University of Central Missouri,-93.737445,38.755882,,,,24,81,7265,18799,25193,Public,9974,30,1769,4611
Columbia College,-92.326544,38.957899,,,,,,7115,21833,21833,Private not-for-profit,15998,26,,
Culver-Stockton College,-91.526682,40.130064,540,540,,23,59,23300,34952,34952,Private not-for-profit,830,38,220,2040
Drury University,-93.285773,37.219757,650,615,605,28,81,22295,34719,34719,Private not-for-profit,4231,32,325,1076
Evangel University,-93.262614,37.220956,600,570,590,26,64,20040,32183,32183,Private not-for-profit,2077,35,460,1379
Fontbonne University,-90.315712,38.642697,600,610,590,25,65,22684,33896,33896,Private not-for-profit,1328,3,160,676
Hannibal-LaGrange University,-91.391423,39.730785,620,520,,25,68,18770,29258,29258,Private not-for-profit,1198,46,173,703
Harris-Stowe State University,-90.224288,38.631744,,,,,,5220,20120,24753,Public,1298,2,,
Lincoln University,-92.168509,38.564409,,,,,,6838,16421,22811,Public,2892,6,,
Lindenwood University,-90.502825,38.788203,550,580,520,25,66,15150,31140,31140,Private not-for-profit,8453,25,1369,3379
Maryville University of Saint Louis,-90.505096,38.645474,610,610,,27,76,25002,41918,41918,Private not-for-profit,2829,51,409,1595
Missouri Baptist University,-90.462606,38.642017,500,540,,24,61,21790,33313,33313,Private not-for-profit,3950,27,265,840
Missouri Southern State University,-94.460893,37.095722,,,,24,97,5376,15370,20219,Public,5587,15,808,1726
Missouri Valley College,-93.190236,39.108655,440,460,460,21,22,18300,30000,30000,Private not-for-profit,1656,15,415,2164
Missouri Western State University,-94.785643,39.7575,,,,,,6400,18025,23631,Public,5616,13,,
University of Missouri-Columbia,-92.326429,38.941015,640,650,,28,79,9415,22943,37292,Public,26928,47,6194,20956
University of Missouri-Kansas City,-94.578039,39.035366,,670,660,27,33,9456,28396,41143,Public,10227,21,1078,4367
Missouri University of Science and Technology,-91.7759,37.955853,670,690,,31,82,9510,21798,36963,Public,6145,25,1262,3322
University of Missouri-St Louis,-90.308886,38.711297,,590,,26,74,9474,24322,39277,Public,13569,20,482,1755
Truman State University,-92.580531,40.188238,680,650,,30,72,7368,19568,25440,Public,5898,54,1329,4462
Northwest Missouri State University,-94.884341,40.352706,570,600,,25,72,6390,17376,22377,Public,5542,27,1260,5680
College of the Ozarks,-93.238174,36.616019,560,548,548,25,13,18330,27276,27276,Private not-for-profit,1513,50,357,3006
Park University,-94.677086,39.189477,,,,,96,10600,23248,23248,Private not-for-profit,10198,27,205,663
Rockhurst University,-94.571249,39.030843,640,649,,28,75,31290,45235,45235,Private not-for-profit,2241,60,438,2576
Saint Louis University,-90.23343,38.636516,640,680,,30,64,36726,53438,53438,Private not-for-profit,12567,61,1638,13389
Southwest Baptist University,-93.410451,37.601603,550,560,,26,90,20040,30340,30340,Private not-for-profit,2962,37,482,2179
Stephens College,-92.322997,38.950631,630,580,590,26,68,27954,42424,42424,Private not-for-profit,647,25,168,783
Southeast Missouri State University,-89.529119,37.31575,555,595,,25,85,6863,19211,24543,Public,10605,27,1729,4388
Missouri State University-Springfield,-93.276821,37.197983,600,620,,26,85,6908,19251,25731,Public,18027,30,2751,7482
Washington University in St Louis,-90.311639,38.648125,760,790,770,34,16,44841,61808,61808,Private not-for-profit,7336,88,1610,30117
Webster University,-90.345654,38.589269,650,600,590,27,58,23760,41918,41918,Private not-for-profit,3528,46,418,1736
Westminster College,-91.954345,38.847764,550,610,530,27,72,21680,34800,34800,Private not-for-profit,1026,52,261,1420
William Jewell College,-94.41207,39.247848,670,645,,28,58,31000,43820,43820,Private not-for-profit,1044,50,259,1433
William Woods University,-91.949273,38.857864,590,547,,26,75,20650,35250,35250,Private not-for-profit,1002,45,208,897
Carroll College,-112.04053,46.602202,620,610,590,26,53,27914,40918,40918,Private not-for-profit,1431,54,315,3279
Montana State University-Billings,-108.523009,45.796896,,,,,,5745,17835,29178,Public,4465,12,,
University of Great Falls,-111.270167,47.490279,,,,,73,20960,32654,32654,Private not-for-profit,1046,17,151,1206
Montana Tech of the University of Montana,-112.557,46.012164,620,610,580,27,89,6464,18724,30866,Public,1844,20,262,586
Montana State University,-111.049918,45.666829,630,630,600,27,84,6752,19452,33417,Public,13174,20,2914,12581
The University of Montana,-113.98294,46.861074,620,590,590,26,94,6045,19106,34780,Public,12254,24,1967,4820
Montana State University-Northern,-109.686457,48.541054,490,505,485,22,100,5480,17380,29212,Public,1250,15,200,376
Rocky Mountain College,-108.553899,45.796765,560,570,555,25,67,23718,35488,35488,Private not-for-profit,988,19,238,1396
The University of Montana-Western,-112.639264,45.208306,,,,,,4141,15386,26105,Public,1455,27,,
Bellevue University,-95.91764,41.150225,,,,,,6300,,,Private not-for-profit,6202,23,,
Chadron State College,-103.002793,42.820672,,,,,,5600,16440,16470,Public,2432,17,,
Concordia University-Nebraska,-97.089054,40.914853,570,610,,27,72,24750,34550,34550,Private not-for-profit,1508,42,282,1299
Creighton University,-95.947029,41.265325,640,660,620,30,77,34330,48058,48058,Private not-for-profit,4076,67,966,5336
Doane College-Crete,-96.949656,40.623107,515,535,490,26,72,26180,38380,38380,Private not-for-profit,1113,51,287,1822
Grace University,-95.92789,41.244723,465,528,498,24,58,18256,28958,28958,Private not-for-profit,410,23,96,260
Hastings College,-98.373641,40.590448,540,530,,26,74,25520,37152,37152,Private not-for-profit,1118,43,345,1529
University of Nebraska at Kearney,-99.098237,40.700787,520,550,,25,85,6542,20010,25838,Public,5502,21,1022,2589
Midland University,-96.488354,41.43675,,,,23,68,27146,37780,37780,Private not-for-profit,1192,41,367,1676
University of Nebraska at Omaha,-96.010797,41.257746,,,,26,71,6550,19250,29590,Public,12335,14,1889,4955
Nebraska Wesleyan University,-96.648414,40.838789,610,600,,26,77,27242,39492,39492,Private not-for-profit,1927,55,378,2315
University of Nebraska-Lincoln,-96.702177,40.822272,660,670,,28,64,8060,22246,35574,Public,19376,32,4420,10929
Peru State College,-95.732731,40.474689,,,,,,6188,16556,16556,Public,2158,19,,
College of Saint Mary,-96.020209,41.240879,,,,26,57,26934,36252,36252,Private not-for-profit,735,27,89,335
Union College,-96.651095,40.774778,,570,570,26,52,20470,31990,31990,Private not-for-profit,821,25,178,1287
Wayne State College,-97.014241,42.241612,,,,,,5574,15500,19700,Public,2991,25,,
York College,-97.579285,40.867453,510,500,,22,49,15600,26250,26250,Private not-for-profit,459,18,94,546
University of Nevada-Las Vegas,-115.141153,36.106994,550,560,530,24,85,6690,22195,36105,Public,23097,15,3773,7343
University of Nevada-Reno,-119.821651,39.549352,590,600,560,26,84,6610,22600,36510,Public,15694,16,2994,7857
Great Basin College,-115.76733,40.84242,,,,,,2700,15070,21715,Public,3164,27,,
Sierra Nevada College,-119.939523,39.24586,,,,,,28483,45759,45759,Private not-for-profit,529,37,,
Colby-Sawyer College,-71.975805,43.411663,,,,,83,37300,52800,52800,Private not-for-profit,1409,48,421,3400
Dartmouth College,-72.289951,43.70408,780,780,790,34,10,46752,63279,63279,Private not-for-profit,4276,87,1098,23110
Franklin Pierce University,-72.057875,42.782305,530,550,520,21,85,31000,45898,45898,Private not-for-profit,1671,39,538,3546
New England College,-71.822928,43.177005,,,,,90,33000,48430,48430,Private not-for-profit,1478,34,388,5723
Southern New Hampshire University,-71.453938,43.039892,520,540,530,,79,28884,43056,43056,Private not-for-profit,18083,47,830,4432
University of New Hampshire-Main Campus,-70.934512,43.134235,590,610,,,78,16496,30300,43020,Public,12516,64,2869,17938
Keene State College,-72.281433,42.925999,540,540,540,,82,12776,25084,32469,Public,4799,52,1258,6144
University of New Hampshire at Manchester,-71.468764,42.990331,580,560,560,,73,13762,,,Public,833,30,94,193
Plymouth State University,-71.691164,43.757386,530,540,520,23,77,12610,26555,33975,Public,4065,41,930,5120
Rivier University,-71.455466,42.738343,500,510,510,21,89,28055,43227,43227,Private not-for-profit,1591,43,223,914
Saint Anselm College,-71.508177,42.985066,610,620,620,27,74,35204,50394,50394,Private not-for-profit,1923,71,508,3829
Granite State College,-71.527241,43.1929,,,,,,7065,,,Public,1723,9,,
Thomas More College of Liberal Arts,-71.48364,42.807701,,,,,,19800,31400,31400,Private not-for-profit,80,46,,
Bloomfield College,-74.19593,40.794218,440,470,,,55,25880,41130,41130,Private not-for-profit,1972,14,382,3115
Caldwell College,-74.273697,40.834285,520,540,,25,64,29000,43800,43800,Private not-for-profit,1578,35,330,2984
Centenary College,-74.832775,40.848693,540,550,540,23,91,30540,43435,43435,Private not-for-profit,1708,56,216,1038
Drew University,-74.425825,40.757026,610,610,610,27,77,44068,59362,59362,Private not-for-profit,1493,65,400,3430
Fairleigh Dickinson University-Metropolitan Campus,-74.030023,40.896162,530,550,540,,73,34882,52036,52036,Private not-for-profit,6108,32,760,5193
Felician College,-74.096452,40.867272,480,500,480,23,88,29990,45800,45800,Private not-for-profit,1621,24,153,1567
Fairleigh Dickinson University-College at Florham,-74.435359,40.777364,560,570,560,,78,37348,54502,54502,Private not-for-profit,2274,40,586,3647
Georgian Court University,-74.22622,40.098706,500,510,500,,78,29606,43276,43276,Private not-for-profit,1567,25,275,1276
Rowan University,-75.117974,39.709768,600,640,580,,59,12380,26970,34776,Public,10951,46,1420,8287
New Jersey City University,-74.08727,40.709937,493,520,,,41,10653,25863,34275,Public,6437,5,649,4183
Kean University,-74.234668,40.679429,490,510,,,80,10918,26624,32847,Public,12078,19,1525,4952
Monmouth University,-74.006447,40.280066,560,590,570,25,78,31018,46152,46152,Private not-for-profit,4607,42,906,5537
Montclair State University,-74.199455,40.859233,520,540,530,,65,11318,28028,36906,Public,15431,34,3040,13012
New Jersey Institute of Technology,-74.177113,40.741997,590,660,590,29,65,15218,31484,44540,Public,7317,23,1029,4344
Princeton University,-74.663708,40.348496,800,800,790,35,7,40170,55832,55832,Private not-for-profit,5323,88,1285,26499
Ramapo College of New Jersey,-74.116384,41.007523,590,610,590,26,55,13388,29161,37811,Public,5614,59,901,6297
Rider University,-74.742822,40.283122,570,580,570,25,72,35270,51670,51670,Private not-for-profit,4425,55,911,8078
Rutgers University-Camden,-75.125303,39.948628,560,580,560,,59,13348,28645,42205,Public,4842,27,497,7437
Rutgers University-New Brunswick,-74.45051,40.503796,640,690,650,,60,13499,29468,43492,Public,33901,57,6337,30631
Rutgers University-Newark,-74.175294,40.741303,550,608,560,,54,12998,29768,43792,Public,7217,32,1057,13282
Saint Peter's University,-74.071541,40.727105,490,510,490,21,54,32284,47842,47842,Private not-for-profit,2484,34,610,6145
Seton Hall University,-74.248753,40.742859,600,620,600,27,79,35820,50318,50318,Private not-for-profit,5839,50,1342,10735
College of Saint Elizabeth,-74.436039,40.781061,480,480,490,,48,31095,47147,47147,Private not-for-profit,987,41,124,2496
Stevens Institute of Technology,-74.025334,40.744776,670,720,,32,38,44490,60554,60554,Private not-for-profit,2691,45,622,4977
The Richard Stockton College of New Jersey,-74.531087,39.492036,570,600,570,24,62,12322,27929,34322,Public,7539,42,1069,6126
Thomas Edison State College,-74.769652,40.22011,,,,,,5700,,,Public,19596,,,
The College of New Jersey,-74.777412,40.268742,660,680,670,,43,14730,29652,40057,Public,6653,72,1404,11145
William Paterson University of New Jersey,-74.199465,40.946256,540,560,,,68,11918,27580,35120,Public,10027,16,1294,8935
Eastern New Mexico University-Main Campus,-103.347294,34.17826,540,540,,22,63,4558,16149,21660,Public,4567,12,659,2245
New Mexico Highlands University,-105.222824,35.598982,,,,,,4000,16592,18974,Public,2396,9,,
New Mexico Institute of Mining and Technology,-106.907491,34.066035,670,680,,29,41,5714,18762,30121,Public,1604,19,318,1088
University of New Mexico-Main Campus,-106.620155,35.083868,610,600,,25,65,6846,20094,33936,Public,22416,15,3424,11467
New Mexico State University-Main Campus,-106.747841,32.282875,540,540,520,24,85,6220,18255,31679,Public,13582,16,1918,5365
Northern New Mexico College,-106.084395,36.004073,,,,,,4060,18787,26250,Public,1653,0,,
University of the Southwest,-103.186948,32.775496,,,,,,14280,25380,25380,Private not-for-profit,318,6,,
Western New Mexico University,-108.284768,32.776962,,,,,,4723,20803,28843,Public,2849,12,,
Vaughn College of Aeronautics and Technology,-73.881721,40.768348,519,574,,,77,20450,43726,43726,Private not-for-profit,1724,48,324,837
Adelphi University,-73.653321,40.721439,600,620,610,24,68,30800,47110,47110,Private not-for-profit,5040,53,918,8654
Alfred University,-77.788625,42.255866,590,610,,27,70,25430,39948,39948,Private not-for-profit,1960,45,535,3417
Bard College,-73.906243,42.021803,,,,,38,46370,62572,62572,Private not-for-profit,2014,60,489,5466
Barnard College,-73.964027,40.809137,730,710,740,32,21,44790,61512,61512,Private not-for-profit,2489,82,580,5606
Boricua College,-73.9458,40.833434,,,,,,11025,,,Private not-for-profit,1050,29,,
Canisius College,-78.851794,42.925319,590,610,,27,73,33332,48102,48102,Private not-for-profit,3084,58,682,4322
Cazenovia College,-75.854054,42.931946,,,,,78,29410,43290,43290,Private not-for-profit,1077,53,345,2440
Clarkson University,-74.999947,44.663761,620,665,600,28,64,40540,57514,57514,Private not-for-profit,3110,61,757,6747
Colgate University,-75.535,42.8188,720,740,,32,26,46380,60050,60050,Private not-for-profit,2890,87,759,8374
Metropolitan College of New York,-74.007056,40.723516,,,,,55,17530,,,Private not-for-profit,911,18,113,667
Columbia University in the City of New York,-73.961885,40.808286,780,790,780,34,7,49138,64144,64144,Private not-for-profit,7970,86,1415,31851
Concordia College-New York,-73.82212,40.94253,500,505,480,20,67,28095,41175,41175,Private not-for-profit,887,28,153,1358
Cooper Union for the Advancement of Science and Art,-73.990516,40.72938,710,780,730,33,8,41400,60075,60075,Private not-for-profit,868,68,186,3193
Cornell University,-76.48269,42.445291,740,780,750,34,16,45358,61618,61618,Private not-for-profit,14393,87,3223,39999
CUNY Bernard M Baruch College,-73.983417,40.740238,630,690,,,25,6210,27562,34072,Public,14082,39,1185,19863
CUNY Brooklyn College,-73.95312,40.631912,580,620,,,32,6184,24906,31416,Public,13596,24,1148,19843
College of Staten Island CUNY,-74.148701,40.603949,530,560,,,100,6158,24832,31342,Public,13465,27,2556,9785
CUNY City College,-73.95055,40.819794,590,640,,,34,6089,26631,33141,Public,12501,9,1397,22171
CUNY Graduate School and University Center,-73.983575,40.748503,,,,,,,,,Public,1347,,,
CUNY Hunter College,-73.964795,40.768669,620,640,,,30,6129,20181,26691,Public,16689,22,1971,30758
CUNY John Jay College of Criminal Justice,-73.988381,40.770675,510,530,,,34,6059,30885,37395,Public,13217,25,1908,13753
CUNY Lehman College,-73.894627,40.873928,530,570,,,23,6108,24470,30980,Public,9886,15,551,15518
CUNY Medgar Evers College,-73.957076,40.666256,450,475,,,91,6032,,,Public,6477,5,1045,7563
CUNY New York City College of Technology,-73.987856,40.695483,490,540,,,77,6069,,,Public,16860,3,2861,16870
CUNY Queens College,-73.815387,40.737771,570,610,,,37,6207,26179,32689,Public,15351,25,1449,19032
CUNY York College,-73.794586,40.702661,470,510,,,35,6096,,,Public,8261,5,1111,13319
D'Youville College,-78.890369,42.902263,580,560,540,25,79,22850,37570,37570,Private not-for-profit,2023,19,258,1171
Daemen College,-78.789025,42.965024,,,,,49,24090,37690,37690,Private not-for-profit,2156,27,411,3061
Dominican College of Blauvelt,-73.95234,41.054111,490,480,480,23,72,24790,39890,39890,Private not-for-profit,1527,21,286,1594
Dowling College,-73.164816,40.746051,,,,,78,28390,43962,43962,Private not-for-profit,2314,18,388,2675
Elmira College,-76.811333,42.092724,570,580,,27,80,38150,50800,50800,Private not-for-profit,1408,60,324,2324
Fashion Institute of Technology,-73.994781,40.74731,,,,,45,5105,21773,30623,Public,9566,,1233,4449
Fordham University,-73.889578,40.861183,670,680,680,30,47,43902,63438,63438,Private not-for-profit,8345,76,1967,36189
Hamilton College,-75.408853,43.047809,730,740,730,33,27,46080,59590,59590,Private not-for-profit,1926,90,491,5017
Hartwick College,-75.073609,42.454023,620,610,600,27,84,38930,50815,50815,Private not-for-profit,1618,54,528,5392
Hilbert College,-78.82029,42.75505,,,,,81,19940,30140,30140,Private not-for-profit,1020,31,191,865
Hobart William Smith Colleges,-76.984813,42.858562,,,,,49,46165,59850,59850,Private not-for-profit,2368,74,643,4385
Hofstra University,-73.60078,40.715959,630,630,,28,59,37400,54289,54289,Private not-for-profit,6826,50,1488,22733
Houghton College,-78.156882,42.426841,630,605,600,28,91,27728,39590,39590,Private not-for-profit,1081,65,223,807
Iona College,-73.785635,40.927107,550,560,,24,92,32770,49295,49295,Private not-for-profit,3539,53,922,5911
Ithaca College,-76.495057,42.42264,,,,,67,38400,55587,55587,Private not-for-profit,6234,69,1789,15658
Keuka College,-77.090518,42.61541,,,,,88,27465,43005,43005,Private not-for-profit,1830,36,228,1375
Le Moyne College,-76.088449,43.047316,570,600,,26,62,30460,44900,44900,Private not-for-profit,2785,63,622,5924
LIU Brooklyn,-73.980872,40.690134,500,540,500,22,87,34120,50514,50514,Private not-for-profit,5006,8,879,5695
LIU Post,-73.593279,40.820043,520,540,530,23,81,34070,50934,50934,Private not-for-profit,7983,22,659,6001
LIU Brentwood,-73.287113,40.803845,,,,,,,,,Private not-for-profit,23,,,
Manhattan College,-73.901893,40.889756,580,610,580,27,66,35725,52005,52005,Private not-for-profit,3403,60,757,7268
Manhattanville College,-73.718316,41.031054,590,590,580,,77,35370,52240,52240,Private not-for-profit,1719,54,476,3930
Marist College,-73.934342,41.721955,,,,,37,31290,48390,48390,Private not-for-profit,5566,70,1149,10351
Marymount Manhattan College,-73.959676,40.769108,590,560,590,26,75,26640,48740,48740,Private not-for-profit,1833,37,399,4147
Medaille College,-78.856569,42.92895,480,490,,,54,23812,37312,37312,Private not-for-profit,1727,38,443,1505
Mercy College,-73.874571,41.021436,,,,,57,17576,34278,34278,Private not-for-profit,8154,23,833,6546
Molloy College,-73.626278,40.68597,560,580,570,25,73,25710,43718,43718,Private not-for-profit,3375,39,501,3242
Mount Saint Mary College,-74.012906,41.511212,540,550,,24,86,26250,42290,42290,Private not-for-profit,2203,41,449,3551
College of Mount Saint Vincent,-73.907019,40.912814,500,500,510,23,73,30290,44835,44835,Private not-for-profit,1669,37,386,2416
Nazareth College,-77.514417,43.102406,,,,,68,29624,44290,44290,Private not-for-profit,2034,59,423,3838
The College of New Rochelle,-73.781104,40.899427,520,535,510,25,57,31260,47550,47550,Private not-for-profit,3225,16,532,1554
The New School,-73.994636,40.735275,635,605,,28,67,40426,59691,59691,Private not-for-profit,6777,50,1038,4978
New York University,-73.997264,40.729452,720,740,730,32,26,44848,63540,63540,Private not-for-profit,22615,77,5207,57845
Niagara University,-79.046229,43.132713,550,570,,25,66,28200,42350,42350,Private not-for-profit,2896,60,700,3716
New York Institute of Technology,-73.608885,40.814402,550,600,,24,74,30780,48552,48552,Private not-for-profit,4456,25,841,5433
Nyack College,-73.931106,41.086425,535,520,,22,97,23250,36532,36532,Private not-for-profit,1831,24,264,700
Pace University-New York,-74.004719,40.711014,570,570,,25,77,38069,56999,56999,Private not-for-profit,8289,34,1848,12885
Paul Smiths College of Arts and Science,-74.253006,44.437366,530,530,,25,75,25261,40021,40021,Private not-for-profit,981,26,240,970
Polytechnic Institute of New York University,-73.986774,40.694371,660,740,650,32,75,41328,59570,59570,Private not-for-profit,2155,33,451,3444
Rensselaer Polytechnic Institute,-73.678768,42.728983,720,768,,31,41,46269,61820,61820,Private not-for-profit,5452,65,1411,16150
Roberts Wesleyan College,-77.798964,43.126747,590,580,560,25,73,27364,40888,40888,Private not-for-profit,1315,53,206,814
Rochester Institute of Technology,-77.67521,43.090325,640,680,630,31,60,34424,47627,47627,Private not-for-profit,13880,28,2784,16354
University of Rochester,-77.631042,43.126437,700,750,700,32,36,45372,61340,61340,Private not-for-profit,6177,77,1472,17244
The Sage Colleges,-73.693711,42.72821,,,,,57,28000,42470,42470,Private not-for-profit,1699,52,297,2237
St Bonaventure University,-78.47586,42.07863,580,600,570,27,80,29589,42359,42359,Private not-for-profit,1826,54,438,2754
St Francis College,-73.991653,40.693076,510,520,520,,64,20700,43200,43200,Private not-for-profit,2764,27,568,2815
St Lawrence University,-75.161343,44.589879,,,,,46,46040,59550,59550,Private not-for-profit,2414,77,631,4424
The College of Saint Rose,-73.78611,42.664664,,,,,78,27684,42234,42234,Private not-for-profit,2891,53,621,4651
St Thomas Aquinas College,-73.934182,41.041126,520,530,510,20,82,26340,41120,41120,Private not-for-profit,1801,36,337,1841
Sarah Lawrence College,-73.84381,40.934147,,,,,62,48696,64122,64122,Private not-for-profit,1471,62,344,2165
Siena College,-73.75153,42.718586,600,620,590,27,68,31368,47265,47265,Private not-for-profit,3151,74,734,8082
Skidmore College,-73.785108,43.092696,680,670,690,30,35,45874,60900,60900,Private not-for-profit,2684,83,660,8285
Saint Joseph's College-New York,-73.968037,40.690485,570,580,560,25,75,21878,,,Private not-for-profit,4529,56,547,3148
Saint John Fisher College,-77.516979,43.117064,570,600,560,27,63,28430,41370,41370,Private not-for-profit,2959,65,521,4016
St John's University-New York,-73.795301,40.721979,590,620,,27,53,37260,56971,56971,Private not-for-profit,15773,36,2792,51634
SUNY College of Technology at Alfred,-77.791057,42.258745,570,610,,26,55,7294,23239,29899,Public,3555,39,1101,5761
SUNY College of Technology at Canton,-75.185005,44.607346,,,,,78,7181,21416,25586,Public,3512,23,780,3391
SUNY College of Technology at Delhi,-74.924225,42.270129,,,,,59,7200,21090,25260,Public,3308,28,935,4846
SUNY College of Agriculture and Technology at Cobleskill,-74.504897,42.661622,540,540,,22,73,7149,22661,32111,Public,2453,29,781,2765
Farmingdale State College,-73.426371,40.75408,510,540,,23,53,7125,22185,31635,Public,8162,21,1190,5401
Morrisville State College,-75.604369,42.891392,500,530,,21,59,7412,23352,32802,Public,3028,21,858,4049
SUNY at Albany,-73.825014,42.686917,580,610,,26,55,8040,22419,32739,Public,12822,56,2568,21178
SUNY at Binghamton,-75.971143,42.088049,675,710,670,30,43,8144,22832,33152,Public,12997,69,2664,28232
University at Buffalo,-78.790103,43.001433,600,660,,28,57,8211,23316,35256,Public,19831,52,3669,23093
Stony Brook University,-73.123595,40.913138,650,700,650,30,39,7995,22127,34067,Public,15992,45,2709,30300
SUNY College of Environmental Science and Forestry,-76.139236,43.034355,620,640,,27,51,7033,24093,33543,Public,1702,51,288,1538
SUNY Institute of Technology at Utica-Rome,-75.2292,43.13528,550,580,,26,48,7090,23065,32515,Public,1804,32,274,1954
SUNY College at Brockport,-77.949824,43.209862,570,590,550,26,48,7222,20952,30402,Public,7090,48,1085,8570
Buffalo State SUNY,-78.88067,42.934199,520,540,,,49,7022,21493,30853,Public,9355,25,1324,11256
SUNY College at Cortland,-76.197909,42.590158,550,580,,25,47,7327,22634,32084,Public,6400,47,1207,11518
SUNY at Fredonia,-79.336109,42.450961,570,580,,26,52,7400,21638,31088,Public,5092,45,1007,5883
SUNY College at Geneseo,-77.821999,42.796864,690,700,,29,46,7430,21672,31122,Public,5504,66,997,9164
State University of New York at New Paltz,-74.088727,41.737205,610,610,600,27,44,7083,21403,30853,Public,6570,51,1119,12892
SUNY Oneonta,-75.064186,42.466555,580,600,580,25,51,7230,21680,31130,Public,5800,54,1119,10261
SUNY College at Oswego,-76.543885,43.453047,590,590,,26,49,7181,21991,31441,Public,7328,40,1508,10351
SUNY College at Potsdam,-74.976889,44.662862,,,,,68,7174,21109,30559,Public,3707,30,821,4764
SUNY at Purchase College,-73.700127,41.047092,600,580,600,26,33,7573,24672,34122,Public,4239,50,775,8405
SUNY College at Old Westbury,-73.570966,40.789842,530,550,520,22,58,6624,19284,28534,Public,4161,20,410,3341
SUNY College at Plattsburgh,-73.467342,44.691103,550,570,,24,46,7179,21309,30759,Public,5639,41,954,8193
SUNY Empire State College,-73.779915,43.078304,,,,,81,6265,,,Public,10827,8,433,1484
SUNY Maritime College,-73.800336,40.809048,570,600,560,26,64,7109,22614,32064,Public,1601,25,331,1279
Syracuse University,-76.136738,43.040525,620,650,630,28,49,40458,57450,57450,Private not-for-profit,15097,69,3487,28269
Teachers College at Columbia University,-73.960399,40.810311,,,,,,,,,Private not-for-profit,0,,,
